hash,msg,author,lines_added,lines_deleted,files_modified,is_merge,author_experience,commit_day,commit_hour,subsystems_modified,total_complexity,ddm_unit_size,ddm_unit_count,ddm_unit_interfacing,is_bug
4fc06ae5839d25eb45bd5588f0223bfec2c65da9,"- import fixes in the test src tree
- the test target appears to depend on classes in the demo src
  tree so i added the dep to the test target. test target
  still isn't working but getting there.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149580 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,69,60,11,False,8,1,17,4,127,,,,0
f62bf88dbcd12f5f5fe2f322dcea9f13838fd5d4,"- cleaning up some more files for the test target
- trying to generate the docs with ant installed and not
  the script and am having no luck.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149581 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,9,2,1,False,9,1,17,1,0,,,,0
98becb89d76cd830e856ffe5dfecedf22918daa1,"- fixing a typo pointed out by sam.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149582 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,1,1,1,False,10,2,1,1,0,,,,0
ee210578653f134db157517c75a00e0e0c8ebb80,"- fixing the ""package"" target so that the package-zip and package-tgz
  targets will work.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149583 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,1,2,2,False,11,2,1,1,0,,,,0
1e4142469c06cc78e9302fadb0807e7d695b5b0b,"- don't need the basedir def, forgot about the implicit ${basedir}.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149584 13f79535-47bb-0310-9956-ffa450edef68",Jason van Zyl,0,1,1,False,12,2,1,1,0,,,,0
b08e28c3838e7bcab1a198e2f6d0cef687ee50e3,"fixed javadoc target


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149585 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,1,1,1,False,0,0,22,1,0,,,,0
53b8f808b42ecc757f9986a91f351947f7ff085d,"Adding German analysis code contributed by Gerhard Schwarz


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149586 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,541,0,4,False,1,1,17,1,99,0.23129251700680273,0.3741496598639456,1.0,0
4b0fe4cfa22967f105bd76ca3f92741885df16bf,"Fixed broken javadoc links.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149587 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,2,2,2,False,2,1,18,2,2,,,,0
cf3414a123d530fa9a978c876192083cb2ae1fc0,"Incorporated Joanne Sproston's changes to extend lower-level HitCollector-based search API to MultiSearcher.  I have not yet tested this.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149588 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,87,23,4,False,3,1,19,1,43,1.0,1.0,0.0,0
adbb6adcec791d7f2dc539d98a5d0a6b8ff434fe,"added package-level javadoc


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149589 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,5,0,1,False,4,1,19,1,0,,,,0
a2ac9a68f1dabecea62d2d16c10a43f131cb45e5,"Changed javadoc to not include private classes, to include links to JDK docs, and to have correct copyright.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149590 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,5,2,2,False,5,1,19,1,0,,,,0
6c282c6a4e756221ba85572f09be7b2da46a4384,"Removed makefiles.  Ant has replaced 'make' as the primary build system.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149591 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,252,14,False,6,1,21,11,0,,,,0
7a28132692fe7bb6e3109a1fa69be2edf3662c94,"Added ability to search for documents containing an ordered range of terms.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149592 13f79535-47bb-0310-9956-ffa450edef68",Scott Ganyo,223,0,1,False,0,1,21,1,39,0.3968253968253968,0.2857142857142857,0.8888888888888888,0
891209bfd38c8f435754feccc526d11ea7f6dc9f,"Added support for RangeQuery.  The syntax is expressed as follows:
inclusive range = field:[lowerTerm-upperTerm]
exclusive range = field:{lowerTerm-upperTerm}


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149593 13f79535-47bb-0310-9956-ffa450edef68",Scott Ganyo,45,8,1,False,1,1,21,1,0,,,,0
9bd3152b06cbef4d429860eb200c64090ce28a68,"Fix compile error: Was referring to old com.lucene.* packages.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149594 13f79535-47bb-0310-9956-ffa450edef68",Scott Ganyo,7,7,1,False,2,2,14,1,0,,,,0
58bcd780a9a37d81dfcb6f4f17acccaddc03a438,"Added index lock files.  Indexing and search are now not just thread
safe, but also ""process safe"": multiple processes may may now search
an index while it is being updated from another process.

Two lock files are used in an index.  One is ""commit.lock"".  This is
used to synchronize commits [IndexWriter.close()] with opens
[IndexReader.open()].  Since these actions are short-lived, attempts
to obtain this lock will block for up to ten seconds, which should be
plenty of time, before an exception is thrown.

The second lock file is ""write.lock"".  This is used to enforce the
restriction that only one process should be adding documents to an
index at a time.  This is created when an IndexWriter is constructed
and removed when it is closed.  If index writing is aborted then this
file must be manually removed.  Attempts to index from another process
will immediately throw an exception.

It should be impossible to corrupt an index through the Lucene API.
However if a Lucene process exits unexpectedly it can leave the index
locked.  The remedy is simply to, at a time when it is certain that no
processes are accessing the index, remove all lock files.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149595 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,247,32,8,False,7,3,16,3,248,0.0,0.9444444444444444,0.9111111111111111,0
c3866b0e9e676679b327e5d0fd440dbcab36a7de,"minor documentation updates


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149596 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,3,8,2,False,8,3,18,1,0,,,,0
830d1e0af96712fcaa6abe2f3b3974751339a973,"Updated website with new logo gif


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149597 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,17,75,31,False,9,3,20,5,0,,,,0
7797f497578493f4e131c8be394140d63f9ee221,"Streamlined web site:
 - removed ego-boosting 'backgrond' section
 - replaced with short bio on 'who we are' page
 - removed 'features' and 'applications' pages -- better covered in the FAQ
 - added branding suggestion to 'Powered by Lucene' page
 - re-arranged links on menu


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149598 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,125,252,15,False,10,4,20,5,0,,,,0
80509b4eb0197ec177eeefdfb6336f0f12b5d76b,"moved api.html into javadoc as overview; fixed links to javadoc


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149599 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,15,367,9,False,11,1,15,4,0,,,,0
c5e43fb7b1ff9f7f390fdde359a575da86c30bdb,"Changed version to 1.2-rc1


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149600 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,1,1,1,False,12,1,17,1,0,,,,0
d3c92823627a4af6c495e9e0542834723be3ed2c,"Added demo files to distribution.  Fixed calls to demo in overview.html.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149601 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,28,19,2,False,13,1,18,2,0,,,,0
3b000a069ae171bfd081940f3bc4f9aa80da9ba1,"Removing obsolete file.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149603 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,174,1,False,14,2,15,1,0,,,,0
97efb88883afe0bd5961f9d2bc7d229c518db9e8,"Removing another obsolete file.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149604 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,128,1,False,15,2,15,1,0,,,,0
0722fd1407dd7d3066a042f7a1bfaaf32ef78928,"JDK 1.1 compatibility fix: disabled lock files for JDK 1.1, since they rely on a feature added in JDK 1.2.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149605 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,88,4,2,False,16,2,16,2,47,0.0,1.0,1.0,0
cfc5237e209c404e6fa53261c6636467b90426bd,"Removed broken build scripts and their libs.  Build requires separate ant installation.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149606 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,12,58,9,False,17,2,16,2,0,,,,0
4e72b89a909aa25ba4ca764e43f7d186fa97a20a,"Removed some redundant code.  This is already in BooleanScorer.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149607 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,10,1,False,18,2,17,1,23,1.0,1.0,0.0,0
e9161ac36535b27b439da0dfd2c2338b892882ea,"Fix NullPointerException in clone() method when the Term is null.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149608 13f79535-47bb-0310-9956-ffa450edef68",Scott Ganyo,1,1,1,False,3,3,15,1,19,,,,0
4c3e4ce6858eac61a94c913813ea1fefe31c76a2,"Fix issue where an inclusive range query would include the nearest term in the index above a non-existant specified upper term.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149609 13f79535-47bb-0310-9956-ffa450edef68",Scott Ganyo,7,4,1,False,4,3,15,1,37,0.0,0.0,1.0,0
6369c5a8848880ba4494c469c2eb98ed63f755db,"Fixed so that getDirectory(xxx,true) correctly erases the directory
contents, even when the directory has already been accessed in this
JVM.  This was broken by the thread-safety fix.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149610 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,16,10,1,False,19,3,17,1,47,0.5,1.0,1.0,0
2a5c45947dd64cf28782d43e298cd3e07748a0c9,"Fixed potential race condition.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149611 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,2,2,1,False,20,3,22,1,62,,,,0
1c31f33cce5c38559678859ebbc955b2f427f1b3,"Added source code into distribution.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149612 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,36,36,4,False,21,4,17,3,8,1.0,1.0,0.0,0
b91b113e861457fc38029306fc2f39e3a04d0c17,"Fixed a bug where adding an optimized index to an empty index failed.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149614 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,2,1,1,False,22,5,2,1,54,1.0,0.0,1.0,0
992d1ade00b9a37596aa28eb8c4dfba252259dd2,"Fixed a bug where RAMInputStream could not read across more than
across a single buffer boundary.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149615 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,12,11,1,False,23,2,0,1,29,0.0,1.0,0.0,0
584d2b394b02f65934554fe2cb9dfec556f32ffa,"Fix query parser so it accepts queries with unicode characters


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149616 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,202,25,3,False,0,3,1,2,35,0.64,1.0,1.0,0
49bd4164b806460288762243aaa3ae2dec3d8022,"Fix tests so they compile; fix ant file so it compiles tests properly


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149617 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,21,10,8,False,1,3,1,5,72,1.0,1.0,1.0,0
4a8ecc08c0a2e0560baf63d3e6e6f589e66a87a6,"Changed so that PrefixQuery is used in preference to WildcardQuery
when there's only an asterisk at the end of the term.  Previously
PrefixQuery would never be used.

Also removed some unused token rules.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149618 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,6,9,1,False,24,3,18,1,0,,,,0
f6f1683dd504d5a2bf1636564f54d48c40b603fe,"Turn PriorityQueueTest into a JUnit test


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149619 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,26,18,1,False,2,5,2,1,7,1.0,0.0,0.0,0
e1561b70fac2179fdee10b5e8d39624a9ff60f0e,"Add test case for Analyzers


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149620 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,111,8,2,False,3,5,2,2,19,0.5,1.0,0.6842105263157895,0
cd948a10d99dcbc609b362f14e810bb4ac4f0ebb,"Fixed some typos.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149621 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,3,3,1,False,25,6,17,1,0,,,,0
1cd030f2b46e13e62688228951fd0150da9dee08,"add redirect to docs


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149622 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,8,0,1,False,26,6,17,1,0,,,,0
8b3d41f04f6ae1cee0584d45246c3fb8d36f4e98,"added README, CHANGES and BUILD files


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149623 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,210,2,5,False,27,6,17,1,0,,,,0
2f468cbb3b3693bc5f8c5bb9eca8cded072ca65b,"renamed LICENSE to LICENSE.txt


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149624 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,0,1,False,28,6,17,1,0,,,,0
521b01730cdce6e762d9608a486daf7a3eb1551f,"- Added ""jar-src"" target to allow creation of a jar file that includes only
  the source code.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149625 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,12,0,1,False,0,6,22,1,0,,,,0
459a5940ad99373be73a89e2fbb0a598aed1a2c6,"- Fixed typos reported by Chris Pepper.
PR:
Obtained from:
Submitted by: Chris Pepper
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149626 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,5,6,1,False,1,0,5,1,0,,,,0
732dd14cb009b999e0e2aafdd8dc85b5892a7658,"Allow . characters in queries


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149627 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,1,1,1,False,4,1,19,1,0,,,,0
20c937d3c0aab2f80da2a6635d7617cd3cc8cb04,"- Added a few targets to allow creation of a source-only distribution.
- Excluded *.java files from the binary distribution.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149628 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,103,9,2,False,2,0,1,1,0,,,,0
c05b8e334b1fa224a9daf3473396ce0687ea630d,"- Very minor documentation grammar fix.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149629 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,1,1,1,False,3,1,5,1,32,,,,0
89a554ffab239c0118ccd454d76cdf714d793911,"Fixed Bug 4555. Possible NullPointerException when a short term with
substitutions was being checked for a particle denotion. Length checking
corrected, and sequence of resubstitution and removing particle denotion
changed to prevent denoted term to pass through remove because of the
reduced length.
Corrected and improved documentation.
Fix in WordlistLoader, files are not read correct, loosing a line.
Fix in GermanStemFilter, typo in constructor with custom exclusion table as
parameter, parameter was ignored.
GermanStemFilter has two new Methods for setting stemmer and exclusion
list after creating the filter object.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149630 13f79535-47bb-0310-9956-ffa450edef68",gschwarz,56,35,4,False,0,0,21,1,102,0.6666666666666666,0.6666666666666666,1.0,0
1eea3cc8b42060e82fbfdfe24f449f9dcb5da615,"*** empty log message ***


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149631 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,31,0,1,False,0,3,7,1,0,,,,0
d17defd73b3b6f7dfbffd8bb07d26b4f097b2b70,"- Added methods:
  public static boolean indexExists(String directory);
  public static boolean indexExists(File directory);
  public static boolean indexExists(Directory directory);
  public static boolean isLocked(Directory directory);
  public static void unlock(Directory directory);


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149632 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,64,6,1,False,4,1,19,1,17,1.0,1.0,1.0,0
0c7b18a9295a9a9f5fe3405de02f08fccddb2aea,"- Applied a patch that silences Jikes' pedantic mode warnings, submitted
  by Maik Schreiber.
PR:
Obtained from:
Submitted by:	Maik Schreiber
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149633 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,9,9,4,False,5,1,19,2,28,,,,0
62ce310c9e5a60e161af60c91345d875356296f7,"- Added build.compiler.pedantic=false property, so that we can easily turn on
  Jikes' pedantic mode and get any warnings.  I like clean code.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149634 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,2,0,1,False,6,1,19,1,0,,,,0
77139e26a17a8567650bb144c8f4b52d62c90b39,"- Modified unlock method to have it delete 'commit.lock' with as well.
PR:
Obtained from:
Submitted by:
Reviewed by:


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149635 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,1,0,1,False,7,2,17,1,17,1.0,1.0,1.0,0
f51c8af4e8fcc25dade4e78c55271df4aa0096e1,"unix linefeeds
cleaned up formatting
removed tabs


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149636 13f79535-47bb-0310-9956-ffa450edef68",Jon Scott Stevens,12,14,1,False,0,6,1,1,0,,,,0
8a84cef92affe8fd33ffb7f54301b8a3daf977f3,"zapped some strange gremlens


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149637 13f79535-47bb-0310-9956-ffa450edef68",Jon Scott Stevens,8,8,1,False,1,0,0,1,0,,,,0
021e328676b4cc8c3099b2f89b291fc15c25ba46,"- Applied a patch submitted by Paul Spencer.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149638 13f79535-47bb-0310-9956-ffa450edef68",Otis Gospodnetic,16,2,1,False,8,1,0,1,11,0.0,0.0,1.0,0
9f805c7d1d7395f67e73a485006f48475fd200d2,"Enable boosting on range queries, phrpase queries (I think this used to work, but got broken when range queries were added); add tests cases for range queries


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149639 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,28,6,2,False,5,0,3,2,15,0.9090909090909091,1.0,1.0,0
ae45d392f8d3b99c7b8ab51f8eca1ee5bb3840af,"Migrate setBoost/getBoost into base QUery class; don't wrap queries with BooleanQuery in query parser unless necessary; more test cases for query parser


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149640 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,64,83,8,False,6,3,2,3,116,0.0,1.0,1.0,0
1fa4fa82d125974f235cb43e0cad886982850367,"Fix query parser (finally) to be much more lenient about queries that have funny characters; added new test cases to test new rules; added NullTokenizer/NullAnalyzer which just pass through space-separated tokens unmodified (mostly for testing purposes


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149641 13f79535-47bb-0310-9956-ffa450edef68",Brian Goetz,232,9,5,False,7,3,2,4,36,0.30434782608695654,0.5362318840579711,1.0,0
65ead57f1c807d86cc3b35b5f54c3a51daa45d5b,"Substantially improved the performance of DateFilter by adding the
ability to reuse TermDocs objects.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149642 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,88,69,8,False,29,0,17,2,171,1.0,1.0,1.0,0
b1ab12b556dc5952c90a8d79914c7cb51067acfe,"Removed JavaCC.zip from CVS, in order to conform to its license, which
does not permit redistribution without permission.  Developers must
now separately download JavaCC again.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149643 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,0,194,2,False,30,1,17,1,0,,,,0
2ae22a31e362c283a9b1a58621bd51512c1d5741,"Renamed NullTokenizer and Analyzer to WhitespaceTokenizer and Analyzer.
Also re-structured the implementation of several tokenizers so that they
share code, basing them on the new class CharAnalyzer.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149644 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,117,115,5,False,31,3,19,1,18,1.0,1.0,0.0,0
d0473acefc066148991310b39e27c38091860334,"Renamed NullTokenizer and Analyzer to WhitespaceTokenizer and Analyzer.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149645 13f79535-47bb-0310-9956-ffa450edef68",Doug Cutting,2,2,2,False,32,3,19,2,25,,,,0
e120b8bd512967bb0c683f64d45546f5c617b548,"PR:
Obtained from:
Reviewed by:	Doug Cutting / Lucene Community
new demo build target
added getting started guide
modified tests
moved demo to demo subpackage
added war demo


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149646 13f79535-47bb-0310-9956-ffa450edef68",Andrew C. Oliver,657,41,30,False,0,5,15,11,90,1.0,0.5,0.0,0
e1ec2e2c6a17263551e223dff6696b1f2f406b2a,"forgot a file


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149647 13f79535-47bb-0310-9956-ffa450edef68",Andrew C. Oliver,70,0,1,False,1,5,15,1,0,,,,0
9d89ff3546fcff46d37138ed968801a4c6cc3ece,"New Lucene Contributions Page
Reviewed By Doug Cutting
This page contains contributions from the Lucene community that are not part of the official release, but are still very useful.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149648 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,228,26,1,False,1,5,16,1,0,,,,0
d2d31a52ee03fb804f5f5db85377b08faa7cdfe8,"Updated project toolbar.
Now contains many links to other resources and adds a new area
contributions.html
Reviewed by Doug Cutting


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149649 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,8,5,1,False,2,5,16,1,0,,,,0
fe92305c3c9153058c9e9a3980513076e1d851f6,"Updated site to include links two new areas.
Getting started (by Andrew Oliver) and Contributions - a collection of Lucene community contributions.
Also changed toolbar to contain updated links 
Moved Bugs to resources
Added Lucene bugs to resources
Added Link to JGuru FAQ in resources
Changed name of FAQ to ""FAQ Official"" in resources
Add Contributions link in Resources
Added Contributions page with currently 4 sections (Overview, Lucene Documents, Analyzers, Misc).


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149650 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,57,26,4,False,3,5,16,1,0,,,,0
c5730b429b4f06a80b848ddaed7e010eb9cdb078,"Getting Started tutorial added by Andrew C. Oliver.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149651 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,1302,0,5,False,4,5,16,1,0,,,,0
ad7a17c911680ebaf0acbf87df0dbbb20e4f3fd4,"Contributions Sections.
Add links to useful resources and contributions not part of lucene official release.


git-svn-id: https://svn.apache.org/repos/asf/lucene/java/trunk@149652 13f79535-47bb-0310-9956-ffa450edef68",Peter Carlson,621,0,1,False,5,5,16,1,0,,,,0
